organism_id,organism_name,species_id,species_name,proteome_id,proteome_name,proteome_source
274,"Thermus thermophilus",274,"Thermus thermophilus",300852,"Thermus thermophilus HB8 (Thermus thermophilus str. HB8)",uniprot
280,"Xanthobacter autotrophicus",280,"Xanthobacter autotrophicus",78245,"Xanthobacter autotrophicus Py2 (Xanthobacter autotrophicus str. Py2)",uniprot
287,"Pseudomonas aeruginosa",287,"Pseudomonas aeruginosa",208964,"Pseudomonas aeruginosa PAO1",uniprot
292,"Burkholderia cepacia (Burkholderia cepacia genomovar I)",292,"Burkholderia cepacia (Burkholderia cepacia genomovar I)"
294,"Pseudomonas fluorescens",294,"Pseudomonas fluorescens",216595,"Pseudomonas fluorescens SBW25 (Pseudomonas fluorescens str. SBW25)",uniprot
298,"Pseudomonas marginalis",298,"Pseudomonas marginalis"
300,"Pseudomonas mendocina",300,"Pseudomonas mendocina",399739,"Pseudomonas mendocina ymp (Pseudomonas mendocina str. ymp)",uniprot
303,"Pseudomonas putida",303,"Pseudomonas putida",351746,"Pseudomonas putida F1 (Pseudomonas putida strain F1)",uniprot
306,"Pseudomonas sp.",306,"Pseudomonas sp."
312,"Pseudomonas sp. RS-16",312,"Pseudomonas sp. RS-16"
316,"Pseudomonas stutzeri",316,"Pseudomonas stutzeri",379731,"Pseudomonas stutzeri A1501 (Pseudomonas stutzeri strain A1501)",uniprot
318,"Pseudomonas syringae pv. glycinea",29438,"Pseudomonas savastanoi",264730,"Pseudomonas syringae pv. phaseolicola 1448A (Pseudomonas syringae pv. phaseolicola strain 1448A)",uniprot
319,"Pseudomonas syringae pv. phaseolicola",29438,"Pseudomonas savastanoi",264730,"Pseudomonas syringae pv. phaseolicola 1448A (Pseudomonas syringae pv. phaseolicola strain 1448A)",uniprot
321,"Pseudomonas syringae pv. syringae",317,"Pseudomonas syringae"
330,"Pseudomonas pseudoalcaligenes",330,"Pseudomonas pseudoalcaligenes"
354,"Azotobacter vinelandii",354,"Azotobacter vinelandii",322710,"Azotobacter vinelandii DJ (Azotobacter vinelandii strain DJ)",uniprot
358,"Agrobacterium tumefaciens",358,"Agrobacterium tumefaciens",311403,"Agrobacterium radiobacter K84 (Agrobacterium radiobacter strain K84)",uniprot
382,"Sinorhizobium meliloti",382,"Sinorhizobium meliloti",266834,"Sinorhizobium meliloti 1021 (Sinorhizobium meliloti str. 1021)",uniprot
446,"Legionella pneumophila",446,"Legionella pneumophila",400673,"Legionella pneumophila str. Corby (Legionella pneumophila 'Corby')",uniprot
470,"Acinetobacter baumannii",470,"Acinetobacter baumannii",400667,"Acinetobacter baumannii ATCC 17978 (Acinetobacter baumannii str. ATCC 17978)",uniprot
471,"Acinetobacter calcoaceticus",471,"Acinetobacter calcoaceticus",871585,"Acinetobacter calcoaceticus PHEA-2 (Acinetobacter calcoaceticus strain PHEA-2)",uniprot
480,"Moraxella catarrhalis",480,"Moraxella catarrhalis",749219,"Moraxella catarrhalis RH4 (Moraxella catarrhalis strain RH4)",uniprot
485,"Neisseria gonorrhoeae",485,"Neisseria gonorrhoeae",242231,"Neisseria gonorrhoeae FA 1090 (Neisseria gonorrhoeae str. FA 1090)",uniprot
486,"Neisseria lactamica",486,"Neisseria lactamica"
487,"Neisseria meningitidis",487,"Neisseria meningitidis",122586,"Neisseria meningitidis MC58",uniprot
491,"Neisseria meningitidis serogroup B",487,"Neisseria meningitidis",122586,"Neisseria meningitidis MC58",uniprot
511,"Alcaligenes faecalis",511,"Alcaligenes faecalis"
512,"Alcaligenes sp.",512,"Alcaligenes sp."
518,"Bordetella bronchiseptica",518,"Bordetella bronchiseptica",257310,"Bordetella bronchiseptica RB50",uniprot
520,"Bordetella pertussis",520,"Bordetella pertussis",257313,"Bordetella pertussis Tohama I",uniprot
529,"Ochrobactrum anthropi",529,"Ochrobactrum anthropi"
539,"Eikenella corrodens",539,"Eikenella corrodens"
545,"Citrobacter koseri",545,"Citrobacter koseri"
546,"Citrobacter freundii",546,"Citrobacter freundii"
548,"Enterobacter aerogenes",548,"Enterobacter aerogenes"
550,"Enterobacter cloacae",550,"Enterobacter cloacae",701347,"Enterobacter cloacae SCF1 (Enterobacter cloacae str. SCF1)",uniprot
556,"Erwinia chrysanthemi",556,"Erwinia chrysanthemi"
573,"Klebsiella pneumoniae",573,"Klebsiella pneumoniae",507522,"Klebsiella pneumoniae 342 (Klebsiella pneumoniae strain 342)",uniprot
582,"Morganella morganii",582,"Morganella morganii"
584,"Proteus mirabilis",584,"Proteus mirabilis",529507,"Proteus mirabilis HI4320 (Proteus mirabilis str. HI4320)",uniprot
585,"Proteus vulgaris",585,"Proteus vulgaris"
588,"Providencia stuartii",588,"Providencia stuartii"
594,"Salmonella enterica subsp. enterica serovar Gallinarum",28901,"Salmonella enterica",99287,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (Salmonella enterica subsp. enterica serovar Typhimurium LT2)",uniprot
596,"Salmonella enterica subsp. enterica serovar Muenchen",28901,"Salmonella enterica",99287,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (Salmonella enterica subsp. enterica serovar Typhimurium LT2)",uniprot
599,"Salmonella sp.",599,"Salmonella sp."
600,"Salmonella enterica subsp. enterica serovar Thompson",28901,"Salmonella enterica",99287,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (Salmonella enterica subsp. enterica serovar Typhimurium LT2)",uniprot
604,"Salmonella enterica subsp. enterica serovar Gallinarum/pullorum",28901,"Salmonella enterica",99287,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (Salmonella enterica subsp. enterica serovar Typhimurium LT2)",uniprot
605,"Salmonella enterica subsp. enterica serovar Pullorum",28901,"Salmonella enterica",99287,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (Salmonella enterica subsp. enterica serovar Typhimurium LT2)",uniprot
607,"Salmonella enterica subsp. enterica serovar Abortusequi",28901,"Salmonella enterica",99287,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (Salmonella enterica subsp. enterica serovar Typhimurium LT2)",uniprot
611,"Salmonella enterica subsp. enterica serovar Heidelberg",28901,"Salmonella enterica",99287,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (Salmonella enterica subsp. enterica serovar Typhimurium LT2)",uniprot
615,"Serratia marcescens",615,"Serratia marcescens"
621,"Shigella boydii",621,"Shigella boydii",344609,"Shigella boydii CDC 3083-94 (Shigella boydii strain CDC 3083-94)",uniprot
622,"Shigella dysenteriae",622,"Shigella dysenteriae",300267,"Shigella dysenteriae Sd197 (Shigella dysenteriae str. Sd197)",uniprot
623,"Shigella flexneri",623,"Shigella flexneri",623,"Shigella flexneri",uniprot
624,"Shigella sonnei",624,"Shigella sonnei",300269,"Shigella sonnei Ss046 (Shigella sonnei strain Ss046)",uniprot
630,"Yersinia enterocolitica",630,"Yersinia enterocolitica",393305,"Yersinia enterocolitica subsp. enterocolitica 8081 (Yersinia enterocolitica subsp. enterocolitica str. 8081)",uniprot
632,"Yersinia pestis",632,"Yersinia pestis",632,"Yersinia pestis",uniprot
633,"Yersinia pseudotuberculosis",633,"Yersinia pseudotuberculosis",273123,"Yersinia pseudotuberculosis IP 32953 (Yersinia pseudotuberculosis IP32953)",uniprot
636,"Edwardsiella tarda",636,"Edwardsiella tarda",718251,"Edwardsiella tarda FL6-60 (Edwardsiella tarda str. FL6-60)",uniprot
644,"Aeromonas hydrophila",644,"Aeromonas hydrophila"
645,"Aeromonas salmonicida",645,"Aeromonas salmonicida",382245,"Aeromonas salmonicida subsp. salmonicida A449 (Aeromonas salmonicida subsp. salmonicida str. A449)",uniprot
659,"Photobacterium phosphoreum",659,"Photobacterium phosphoreum"
666,"Vibrio cholerae",666,"Vibrio cholerae",243277,"Vibrio cholerae O1 biovar El Tor str. N16961 (Vibrio cholerae El Tor N16961)",uniprot
670,"Vibrio parahaemolyticus",670,"Vibrio parahaemolyticus",223926,"Vibrio parahaemolyticus RIMD 2210633",uniprot
672,"Vibrio vulnificus",672,"Vibrio vulnificus",216895,"Vibrio vulnificus CMCP6",uniprot
674,"Vibrio mimicus",674,"Vibrio mimicus"
686,"Vibrio cholerae O1 biovar El Tor (Vibrio cholerae O1 biovar eltor)",666,"Vibrio cholerae",243277,"Vibrio cholerae O1 biovar El Tor str. N16961 (Vibrio cholerae El Tor N16961)",uniprot
703,"Plesiomonas shigelloides",703,"Plesiomonas shigelloides"
714,"Aggregatibacter actinomycetemcomitans",714,"Aggregatibacter actinomycetemcomitans",668336,"Aggregatibacter actinomycetemcomitans D11S-1 (Aggregatibacter actinomycetemcomitans strain D11S-1)",uniprot
725,"Haemophilus influenzae biotype aegyptius",727,"Haemophilus influenzae",71421,"Haemophilus influenzae Rd KW20 (Haemophilus influenzae KW20)",uniprot
726,"Haemophilus haemolyticus",726,"Haemophilus haemolyticus"
727,"Haemophilus influenzae",727,"Haemophilus influenzae",71421,"Haemophilus influenzae Rd KW20 (Haemophilus influenzae KW20)",uniprot
728,"Avibacterium paragallinarum",728,"Avibacterium paragallinarum"
729,"Haemophilus parainfluenzae",729,"Haemophilus parainfluenzae"
730,"Haemophilus ducreyi",730,"Haemophilus ducreyi",233412,"Haemophilus ducreyi 35000HP",uniprot
731,"Histophilus somni",731,"Histophilus somni",205914,"Haemophilus somnus 129PT",uniprot
732,"Aggregatibacter aphrophilus",732,"Aggregatibacter aphrophilus"
735,"Haemophilus parahaemolyticus",735,"Haemophilus parahaemolyticus"
736,"Haemophilus paraphrohaemolyticus",736,"Haemophilus paraphrohaemolyticus"
747,"Pasteurella multocida",747,"Pasteurella multocida",272843,"Pasteurella multocida subsp. multocida str. Pm70 (Pasteurella multocida subsp. multocida strain Pm70)",uniprot
769,"Anaplasma centrale",769,"Anaplasma centrale",574556,"Anaplasma centrale str. Israel (Anaplasma centrale strain Israel)",uniprot
770,"Anaplasma marginale",770,"Anaplasma marginale",234826,"Anaplasma marginale str. St. Maries (Anaplasma marginale 'St. Maries')",uniprot
779,"Ehrlichia ruminantium (heartwater rickettsia)",779,"Ehrlichia ruminantium (heartwater rickettsia)",254945,"Ehrlichia ruminantium str. Welgevonden (Ehrlichia ruminantium isolate Welgevonden)",uniprot
781,"Rickettsia conorii",781,"Rickettsia conorii",272944,"Rickettsia conorii str. Malish 7 (Rickettsia conorii 'Malish 7')",uniprot
782,"Rickettsia prowazekii",782,"Rickettsia prowazekii",272947,"Rickettsia prowazekii str. Madrid E (Rickettsia prowazekii 'Madrid E')",uniprot
783,"Rickettsia rickettsii",783,"Rickettsia rickettsii",392021,"Rickettsia rickettsii str. 'Sheila Smith' (Rickettsia rickettsii strain 'Sheila Smith')",uniprot
784,"Orientia tsutsugamushi",784,"Orientia tsutsugamushi",334380,"Orientia tsutsugamushi str. Ikeda (Orientia tsutsugamushi Ikeda)",uniprot
785,"Rickettsia typhi",785,"Rickettsia typhi",257363,"Rickettsia typhi str. Wilmington (Rickettsia typhi 'wilmington')",uniprot
786,"Rickettsia akari (rickettsialpox)",786,"Rickettsia akari (rickettsialpox)",293614,"Rickettsia akari str. Hartford (Rickettsia akari strain Hartford)",uniprot
787,"Rickettsia australis",787,"Rickettsia australis",1105110,"Rickettsia australis str. Cutlack (Rickettsia australis strain Cutlack)",uniprot
788,"Rickettsia canadensis",788,"Rickettsia canadensis",293613,"Rickettsia canadensis str. McKiel (Rickettsia canadensis strain McKiel)",uniprot
813,"Chlamydia trachomatis",813,"Chlamydia trachomatis",272561,"Chlamydia trachomatis D/UW-3/CX (Chlamydia trachomatis strain D/UW-3/CX)",uniprot
817,"Bacteroides fragilis",817,"Bacteroides fragilis"
837,"Porphyromonas gingivalis",837,"Porphyromonas gingivalis",431947,"Porphyromonas gingivalis ATCC 33277 (Porphyromonas gingivalis str. ATCC 33277)",uniprot
851,"Fusobacterium nucleatum (Fusibacterium nucleatum)",851,"Fusobacterium nucleatum (Fusibacterium nucleatum)",190304,"Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (Fusobacterium nucleatum subsp. nucleatum strain ATCC 25586)",uniprot
944,"Ehrlichia canis",944,"Ehrlichia canis",269484,"Ehrlichia canis str. Jake (Ehrlichia canis Jake)",uniprot
945,"Ehrlichia chaffeensis",945,"Ehrlichia chaffeensis",205920,"Ehrlichia chaffeensis str. Arkansas",uniprot
948,"Anaplasma phagocytophilum (agent of human granulocytic ehrlichiosis)",948,"Anaplasma phagocytophilum (agent of human granulocytic ehrlichiosis)",212042,"Anaplasma phagocytophilum HZ",uniprot
1063,"Rhodobacter sphaeroides",1063,"Rhodobacter sphaeroides",272943,"Rhodobacter sphaeroides 2.4.1 (Rhodobacter sphaeroides str. 2.4.1)",uniprot
1148,"Synechocystis sp. PCC 6803",1148,"Synechocystis sp. PCC 6803",1111708,"Synechocystis sp. PCC 6803 substr. Kazusa",uniprot
1173,"Anabaena oscillarioides",1173,"Anabaena oscillarioides"
1245,"Leuconostoc mesenteroides",1245,"Leuconostoc mesenteroides"
1254,"Pediococcus acidilactici",1254,"Pediococcus acidilactici"
1270,"Micrococcus luteus",1270,"Micrococcus luteus"
1280,"Staphylococcus aureus",1280,"Staphylococcus aureus",93061,"Staphylococcus aureus subsp. aureus NCTC 8325 (Staphylococcus aureus subsp. aureus str. NCTC 8325)",uniprot
1282,"Staphylococcus epidermidis",1282,"Staphylococcus epidermidis"
1303,"Streptococcus oralis",1303,"Streptococcus oralis",927666,"Streptococcus oralis Uo5 (Streptococcus oralis strain Uo5)",uniprot
1304,"Streptococcus salivarius",1304,"Streptococcus salivarius"
1305,"Streptococcus sanguinis",1305,"Streptococcus sanguinis",388919,"Streptococcus sanguinis SK36 (Streptococcus sanguinis str. SK36)",uniprot
1307,"Streptococcus suis",1307,"Streptococcus suis",391295,"Streptococcus suis 05ZYH33 (Streptococcus suis strain 05ZYH33)",uniprot
1309,"Streptococcus mutans",1309,"Streptococcus mutans",210007,"Streptococcus mutans UA159",uniprot
1310,"Streptococcus sobrinus",1310,"Streptococcus sobrinus"
1311,"Streptococcus agalactiae",1311,"Streptococcus agalactiae",211110,"Streptococcus agalactiae NEM316",uniprot
1313,"Streptococcus pneumoniae",1313,"Streptococcus pneumoniae",171101,"Streptococcus pneumoniae R6",uniprot
1314,"Streptococcus pyogenes",1314,"Streptococcus pyogenes",286636,"Streptococcus pyogenes MGAS10394 (Streptococcus pyogenes str. MGAS10394)",uniprot
1317,"Streptococcus downei (Streptococcus downensis)",1317,"Streptococcus downei (Streptococcus downensis)"
1319,"Streptococcus sp. 'group B'",1319,"Streptococcus sp. 'group B'"
1320,"Streptococcus sp. 'group G'",1320,"Streptococcus sp. 'group G'"
1324,"Streptococcus sp. G148",1324,"Streptococcus sp. G148"
1325,"Streptococcus sp. GX7805",1325,"Streptococcus sp. GX7805"
1328,"Streptococcus anginosus",1328,"Streptococcus anginosus"
1329,"Streptococcus canis",1329,"Streptococcus canis"
1333,"Streptococcus criceti",1333,"Streptococcus criceti"
1336,"Streptococcus equi",1336,"Streptococcus equi",552526,"Streptococcus equi subsp. zooepidemicus MGCS10565 (Streptococcus equi subsp. zooepidemicus str. MGCS10565)",uniprot
1341,"Streptococcus ratti",1341,"Streptococcus ratti"
1349,"Streptococcus uberis",1349,"Streptococcus uberis",218495,"Streptococcus uberis 0140J",uniprot
1351,"Enterococcus faecalis",1351,"Enterococcus faecalis",226185,"Enterococcus faecalis V583 (Enterococcus faecalis str. V583)",uniprot
1352,"Enterococcus faecium",1352,"Enterococcus faecium",1155766,"Enterococcus faecium Aus0004 (Enterococcus faecium str. Aus0004)",uniprot
1358,"Lactococcus lactis",1358,"Lactococcus lactis",272623,"Lactococcus lactis subsp. lactis Il1403 (Lactococcus lactis subsp. lactis str. Il1403)",uniprot
1390,"Bacillus amyloliquefaciens",1390,"Bacillus amyloliquefaciens",326423,"Bacillus amyloliquefaciens FZB42 (Bacillus amyloliquefaciens strain FZB42)",uniprot
1392,"Bacillus anthracis (anthrax bacterium)",1392,"Bacillus anthracis (anthrax bacterium)",1392,"Bacillus anthracis (anthrax bacterium)",uniprot
1396,"Bacillus cereus",1396,"Bacillus cereus",226900,"Bacillus cereus ATCC 14579",uniprot
1402,"Bacillus licheniformis",1402,"Bacillus licheniformis",279010,"Bacillus licheniformis DSM 13 = ATCC 14580 (Bacillus licheniformis ATCC 14580 = DSM 13)",uniprot
1404,"Bacillus megaterium",1404,"Bacillus megaterium",545693,"Bacillus megaterium QM B1551 (Bacillus megaterium str. QM B1551)",uniprot
1421,"Lysinibacillus sphaericus",1421,"Lysinibacillus sphaericus",444177,"Lysinibacillus sphaericus C3-41 (Lysinibacillus sphaericus strain C3-41)",uniprot
1422,"Geobacillus stearothermophilus",1422,"Geobacillus stearothermophilus"
1423,"Bacillus subtilis",1423,"Bacillus subtilis",224308,"Bacillus subtilis subsp. subtilis str. 168",uniprot
1427,"Bacillus thermoproteolyticus",1427,"Bacillus thermoproteolyticus"
1428,"Bacillus thuringiensis",1428,"Bacillus thuringiensis",281309,"Bacillus thuringiensis serovar konkukian str. 97-27 (Bacillus thuringiensis serovar konkukian 97-27)",uniprot
1435,"Bacillus thuringiensis serovar san diego",1428,"Bacillus thuringiensis",281309,"Bacillus thuringiensis serovar konkukian str. 97-27 (Bacillus thuringiensis serovar konkukian 97-27)",uniprot
1467,"Bacillus lentus",1467,"Bacillus lentus"
1491,"Clostridium botulinum",1491,"Clostridium botulinum",441771,"Clostridium botulinum A str. Hall (Clostridium botulinum A strain Hall)",uniprot
1496,"Clostridium difficile",1496,"Clostridium difficile",645462,"Clostridium difficile CD196 (Clostridium difficile str. CD196)",uniprot
1502,"Clostridium perfringens",1502,"Clostridium perfringens",195103,"Clostridium perfringens ATCC 13124 (Clostridium perfringens strain ATCC 13124)",uniprot
1513,"Clostridium tetani",1513,"Clostridium tetani",212717,"Clostridium tetani E88",uniprot
1521,"Clostridium cellulolyticum",1521,"Clostridium cellulolyticum",394503,"Clostridium cellulolyticum H10 (Clostridium cellulolyticum str. H10)",uniprot
1579,"Lactobacillus acidophilus",1579,"Lactobacillus acidophilus"
1582,"Lactobacillus casei",1582,"Lactobacillus casei"
1585,"Lactobacillus delbrueckii subsp. bulgaricus",1584,"Lactobacillus delbrueckii",390333,"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 (Lactobacillus delbrueckii subsp. bulgaricus str. ATCC 11842)",uniprot
1599,"Lactobacillus sakei",1599,"Lactobacillus sakei",314315,"Lactobacillus sakei subsp. sakei 23K (Lactobacillus sakei subsp. sakei str. 23K)",uniprot
1638,"Listeria ivanovii",1638,"Listeria ivanovii",881621,"Listeria ivanovii subsp. ivanovii PAM 55 (Listeria ivanovii subsp. ivanovii strain PAM 55)",uniprot
1639,"Listeria monocytogenes",1639,"Listeria monocytogenes",169963,"Listeria monocytogenes EGD-e (Listeria monocytogenes strain EGD-e)",uniprot
1640,"Listeria seeligeri",1640,"Listeria seeligeri",683837,"Listeria seeligeri serovar 1/2b str. SLCC3954 (Listeria seeligeri serovar 1/2b strain SLCC3954)",uniprot
1642,"Listeria innocua",1642,"Listeria innocua",272626,"Listeria innocua Clip11262 (Listeria innocua strain Clip11262)",uniprot
1646,"Renibacterium salmoninarum",1646,"Renibacterium salmoninarum",288705,"Renibacterium salmoninarum ATCC 33209 (Renibacterium salmoninarum strain ATCC 33209)",uniprot
1655,"Actinomyces naeslundii",1655,"Actinomyces naeslundii"
1659,"Actinomyces israelii",1659,"Actinomyces israelii"
1661,"Trueperella pyogenes",1661,"Trueperella pyogenes"
1717,"Corynebacterium diphtheriae",1717,"Corynebacterium diphtheriae",698964,"Corynebacterium diphtheriae PW8",uniprot
1718,"Corynebacterium glutamicum",1718,"Corynebacterium glutamicum",196627,"Corynebacterium glutamicum ATCC 13032 (Corynebacterium glutamicum strain ATCC 13032)",uniprot
1752,"Propionibacterium freudenreichii subsp. shermanii (Propionicibacterium freudenreichii subsp. shermanii)",1744,"Propionibacterium freudenreichii",754252,"Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (Propionibacterium freudenreichii subsp. shermanii str. CIRM-BIA1)",uniprot
1764,"Mycobacterium avium",1764,"Mycobacterium avium",262316,"Mycobacterium avium subsp. paratuberculosis K-10 (Mycobacterium avium subsp. paratuberculosis strain K-10)",uniprot
1765,"Mycobacterium bovis",1765,"Mycobacterium bovis",233413,"Mycobacterium bovis AF2122/97",uniprot
1766,"Mycobacterium fortuitum",1766,"Mycobacterium fortuitum"
1767,"Mycobacterium intracellulare",1767,"Mycobacterium intracellulare",487521,"Mycobacterium intracellulare ATCC 13950 (Mycobacterium intracellulare str. ATCC 13950)",uniprot
1768,"Mycobacterium kansasii",1768,"Mycobacterium kansasii"
1769,"Mycobacterium leprae",1769,"Mycobacterium leprae",272631,"Mycobacterium leprae TN (Mycobacterium leprae str. TN)",uniprot
1770,"Mycobacterium avium subsp. paratuberculosis (Mycobacterium avium paratuberculosis)",1764,"Mycobacterium avium",262316,"Mycobacterium avium subsp. paratuberculosis K-10 (Mycobacterium avium subsp. paratuberculosis strain K-10)",uniprot
1771,"Mycobacterium phlei",1771,"Mycobacterium phlei"
1772,"Mycobacterium smegmatis",1772,"Mycobacterium smegmatis"
1773,"Mycobacterium tuberculosis",1773,"Mycobacterium tuberculosis",1773,"Mycobacterium tuberculosis",uniprot
1774,"Mycobacterium chelonae (Mycobacterium chelonae chelonae)",1774,"Mycobacterium chelonae (Mycobacterium chelonae chelonae)"
1777,"Mycobacterium gastri",1777,"Mycobacterium gastri"
1778,"Mycobacterium gordonae",1778,"Mycobacterium gordonae"
1782,"Mycobacterium nonchromogenicum",1782,"Mycobacterium nonchromogenicum"
1783,"Mycobacterium scrofulaceum",1783,"Mycobacterium scrofulaceum"
1788,"Mycobacterium terrae",1788,"Mycobacterium terrae"
1789,"Mycobacterium xenopi",1789,"Mycobacterium xenopi"
1806,"Mycobacterium microti",1806,"Mycobacterium microti"
1809,"Mycobacterium ulcerans",1809,"Mycobacterium ulcerans",362242,"Mycobacterium ulcerans Agy99 (Mycobacterium ulcerans str. Agy99)",uniprot
1810,"Mycobacterium vaccae",1810,"Mycobacterium vaccae"
1828,"Rhodococcus fascians",1828,"Rhodococcus fascians"
1830,"Rhodococcus ruber",1830,"Rhodococcus ruber"
1833,"Rhodococcus erythropolis",1833,"Rhodococcus erythropolis",234621,"Rhodococcus erythropolis PR4 (Rhodococcus erythropolis strain PR4)",uniprot
1863,"Dermatophilus congolensis",1863,"Dermatophilus congolensis"
1902,"Streptomyces coelicolor",1902,"Streptomyces coelicolor",100226,"Streptomyces coelicolor A3(2)",uniprot
1916,"Streptomyces lividans",1916,"Streptomyces lividans"
1946,"Streptomyces kasugaensis (Streptomyces kasugensis)",1946,"Streptomyces kasugaensis (Streptomyces kasugensis)"
2096,"Mycoplasma gallisepticum",2096,"Mycoplasma gallisepticum",710128,"Mycoplasma gallisepticum str. R(high) (Mycoplasma gallisepticum strain R(high))",uniprot
2097,"Mycoplasma genitalium",2097,"Mycoplasma genitalium",243273,"Mycoplasma genitalium G37 (Mycoplasma genitalium str. G37)",uniprot
2099,"Mycoplasma hyopneumoniae",2099,"Mycoplasma hyopneumoniae",295358,"Mycoplasma hyopneumoniae 232 (Mycoplasma hyopneumoniae str. 232)",uniprot
2104,"Mycoplasma pneumoniae",2104,"Mycoplasma pneumoniae",272634,"Mycoplasma pneumoniae M129 (Mycoplasma pneumoniae strain M129)",uniprot
2110,"Mycoplasma agalactiae",2110,"Mycoplasma agalactiae",347257,"Mycoplasma agalactiae PG2 (Mycoplasma agalactiae strain PG2)",uniprot
2115,"Mycoplasma fermentans",2115,"Mycoplasma fermentans"
2133,"Spiroplasma citri",2133,"Spiroplasma citri"
2148,"Acholeplasma laidlawii",2148,"Acholeplasma laidlawii",441768,"Acholeplasma laidlawii PG-8A (Acholeplasma laidlawii str. PG-8A)",uniprot
13373,"Burkholderia mallei",13373,"Burkholderia mallei",243160,"Burkholderia mallei ATCC 23344 (Burkholderia mallei str. ATCC 23344)",uniprot
28037,"Streptococcus mitis",28037,"Streptococcus mitis"
28080,"Campylobacter upsaliensis",28080,"Campylobacter upsaliensis"
28090,"Acinetobacter lwoffii",28090,"Acinetobacter lwoffii"
28131,"Prevotella intermedia",28131,"Prevotella intermedia"
28142,"Salmonella enterica subsp. enterica serovar Berta",28901,"Salmonella enterica",99287,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (Salmonella enterica subsp. enterica serovar Typhimurium LT2)",uniprot
28152,"Yersinia kristensenii",28152,"Yersinia kristensenii"
28227,"Mycoplasma penetrans",28227,"Mycoplasma penetrans",272633,"Mycoplasma penetrans HF-2 (Mycoplasma penetrans strain HF-2)",uniprot
28448,"Gluconacetobacter xylinus",28448,"Gluconacetobacter xylinus",634177,"Gluconacetobacter xylinus NBRC 3288",uniprot
28450,"Burkholderia pseudomallei",28450,"Burkholderia pseudomallei",272560,"Burkholderia pseudomallei K96243 (Burkholderia pseudomallei str. K96243)",uniprot
28901,"Salmonella enterica",28901,"Salmonella enterica",99287,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (Salmonella enterica subsp. enterica serovar Typhimurium LT2)",uniprot
28903,"Mycoplasma bovis",28903,"Mycoplasma bovis",289397,"Mycoplasma bovis PG45",uniprot
29320,"Arthrobacter nicotinovorans (Arthrobacter nicotinivorans)",29320,"Arthrobacter nicotinovorans (Arthrobacter nicotinivorans)"
29339,"Bacillus thuringiensis serovar kurstaki",1428,"Bacillus thuringiensis",281309,"Bacillus thuringiensis serovar konkukian str. 97-27 (Bacillus thuringiensis serovar konkukian 97-27)",uniprot
29362,"Clostridium papyrosolvens",29362,"Clostridium papyrosolvens"
29430,"Acinetobacter haemolyticus",29430,"Acinetobacter haemolyticus"
